////////////////// KILLED UNITS DATA /////////////////////

Td  	ID  	Tj  	Df  	Dd  	Db
1986   	821   	849   	6   	1131   	1137
1986   	391   	419   	0   	1567   	1567
1987   	538   	536   	697   	754   	1451
1987   	15   	22   	0   	1965   	1965
1988   	717   	745   	0   	1243   	1243
1988   	912   	981   	0   	1007   	1007
1989   	772   	812   	9   	1168   	1177
1989   	896   	942   	138   	909   	1047
1990   	322   	341   	0   	1649   	1649
1990   	576   	577   	21   	1392   	1413
1991   	43   	42   	4   	1945   	1949
1991   	751   	795   	108   	1088   	1196
1992   	657   	701   	110   	1181   	1291
1992   	403   	425   	10   	1557   	1567
1993   	139   	178   	177   	1638   	1815
1993   	552   	547   	125   	1321   	1446
1994   	362   	369   	1   	1624   	1625
1994   	536   	536   	0   	1458   	1458
1995   	425   	439   	15   	1541   	1556
1995   	61   	61   	0   	1934   	1934
1996   	122   	164   	0   	1832   	1832
1996   	792   	829   	0   	1167   	1167
1997   	52   	51   	0   	1946   	1946
1997   	88   	88   	12   	1897   	1909
1998   	660   	701   	0   	1297   	1297
1998   	419   	435   	2   	1561   	1563
1999   	940   	989   	5   	1005   	1010
1999   	382   	405   	0   	1594   	1594
2000   	566   	573   	37   	1390   	1427
2000   	138   	178   	34   	1788   	1822
2001   	797   	837   	0   	1164   	1164
2001   	91   	124   	5   	1872   	1877
2002   	885   	934   	0   	1068   	1068
2002   	306   	330   	807   	865   	1672
2003   	734   	760   	0   	1243   	1243
2003   	275   	286   	1   	1716   	1717
2004   	398   	424   	0   	1580   	1580
2004   	196   	223   	1   	1780   	1781
2005   	567   	573   	0   	1432   	1432
2005   	132   	176   	0   	1829   	1829
2006   	653   	696   	0   	1310   	1310
2006   	320   	339   	0   	1667   	1667
2008   	2486   	460   	51   	1497   	1548
2018   	2232   	214   	19   	1785   	1804
2021   	2497   	463   	52   	1506   	1558
2022   	2335   	290   	37   	1695   	1732
2051   	2569   	524   	62   	1465   	1527
2057   	2445   	424   	46   	1587   	1633
